"sta6a","report_month","documented","not_documented","total"
"4369AA",2018-02-01,0,1,1
"4369AA",2018-03-01,0,0,0
"4369AA",2018-04-01,0,0,0
"4369AA",2018-05-01,1,1,2
"4369AA",2018-06-01,0,0,0
"4369AA",2018-07-01,2,0,2
"4429AA",2018-02-01,5,0,5
"4429AA",2018-03-01,2,0,2
"4429AA",2018-04-01,2,0,2
"4429AA",2018-05-01,3,0,3
"4429AA",2018-06-01,1,0,1
"4429AA",2018-07-01,1,0,1
"4609AA",2018-02-01,0,4,4
"4609AA",2018-03-01,0,1,1
"4609AA",2018-04-01,0,1,1
"4609AA",2018-05-01,0,1,1
"4609AA",2018-06-01,0,0,0
"4609AA",2018-07-01,0,4,4
"5039AA",2018-02-01,0,1,1
"5039AA",2018-03-01,0,1,1
"5039AA",2018-04-01,0,1,1
"5039AA",2018-05-01,1,3,4
"5039AA",2018-06-01,0,2,2
"5039AA",2018-07-01,2,2,4
"5069AA",2018-02-01,0,4,4
"5069AA",2018-03-01,5,0,5
"5069AA",2018-04-01,3,1,4
"5069AA",2018-05-01,3,0,3
"5069AA",2018-06-01,5,0,5
"5069AA",2018-07-01,5,1,6
"5129AA",2018-02-01,0,8,8
"5129AA",2018-03-01,0,8,8
"5129AA",2018-04-01,0,7,7
"5129AA",2018-05-01,5,9,14
"5129AA",2018-06-01,7,2,9
"5129AA",2018-07-01,4,1,5
"5129AC",2018-02-01,0,4,4
"5129AC",2018-03-01,0,5,5
"5129AC",2018-04-01,0,3,3
"5129AC",2018-05-01,5,2,7
"5129AC",2018-06-01,1,2,3
"5129AC",2018-07-01,3,1,4
"5159AA",2018-02-01,1,7,8
"5159AA",2018-03-01,0,8,8
"5159AA",2018-04-01,0,8,8
"5159AA",2018-05-01,2,4,6
"5159AA",2018-06-01,1,2,3
"5159AA",2018-07-01,2,1,3
"5299AA",2018-02-01,1,3,4
"5299AA",2018-03-01,0,5,5
"5299AA",2018-04-01,0,6,6
"5299AA",2018-05-01,1,3,4
"5299AA",2018-06-01,1,3,4
"5299AA",2018-07-01,2,3,5
"5429AA",2018-02-01,0,3,3
"5429AA",2018-03-01,1,6,7
"5429AA",2018-04-01,3,7,10
"5429AA",2018-05-01,8,3,11
"5429AA",2018-06-01,7,0,7
"5429AA",2018-07-01,8,0,8
"5509AA",2018-02-01,0,4,4
"5509AA",2018-03-01,3,5,8
"5509AA",2018-04-01,2,6,8
"5509AA",2018-05-01,3,9,12
"5509AA",2018-06-01,1,5,6
"5509AA",2018-07-01,0,5,5
"5539AA",2018-02-01,0,6,6
"5539AA",2018-03-01,0,7,7
"5539AA",2018-04-01,0,5,5
"5539AA",2018-05-01,0,11,11
"5539AA",2018-06-01,3,0,3
"5539AA",2018-07-01,5,0,5
"5549AB",2018-02-01,0,3,3
"5549AB",2018-03-01,0,0,0
"5549AB",2018-04-01,0,1,1
"5549AB",2018-05-01,0,1,1
"5549AB",2018-06-01,0,2,2
"5549AB",2018-07-01,0,0,0
"5569AA",2018-02-01,3,0,3
"5569AA",2018-03-01,3,0,3
"5569AA",2018-04-01,2,0,2
"5569AA",2018-05-01,2,0,2
"5569AA",2018-06-01,2,0,2
"5569AA",2018-07-01,3,0,3
"5629AA",2018-02-01,0,4,4
"5629AA",2018-03-01,0,1,1
"5629AA",2018-04-01,0,4,4
"5629AA",2018-05-01,0,6,6
"5629AA",2018-06-01,0,4,4
"5629AA",2018-07-01,0,1,1
"5689AA",2018-02-01,3,0,3
"5689AA",2018-03-01,5,0,5
"5689AA",2018-04-01,7,0,7
"5689AA",2018-05-01,5,0,5
"5689AA",2018-06-01,7,0,7
"5689AA",2018-07-01,3,1,4
"5689AB",2018-02-01,0,0,0
"5689AB",2018-03-01,1,0,1
"5689AB",2018-04-01,1,0,1
"5689AB",2018-05-01,0,0,0
"5689AB",2018-06-01,1,0,1
"5689AB",2018-07-01,1,0,1
"5759AA",2018-02-01,0,2,2
"5759AA",2018-03-01,0,6,6
"5759AA",2018-04-01,0,5,5
"5759AA",2018-05-01,0,5,5
"5759AA",2018-06-01,0,1,1
"5759AA",2018-07-01,0,6,6
"5959AA",2018-02-01,0,10,10
"5959AA",2018-03-01,0,8,8
"5959AA",2018-04-01,0,11,11
"5959AA",2018-05-01,7,5,12
"5959AA",2018-06-01,8,0,8
"5959AA",2018-07-01,10,0,10
"6079AA",2018-02-01,5,0,5
"6079AA",2018-03-01,10,0,10
"6079AA",2018-04-01,8,0,8
"6079AA",2018-05-01,10,1,11
"6079AA",2018-06-01,9,0,9
"6079AA",2018-07-01,8,0,8
"6109AA",2018-02-01,0,0,0
"6109AA",2018-03-01,0,0,0
"6109AA",2018-04-01,0,0,0
"6109AA",2018-05-01,1,0,1
"6109AA",2018-06-01,1,1,2
"6109AA",2018-07-01,2,1,3
"6309AB",2018-02-01,0,9,9
"6309AB",2018-03-01,0,8,8
"6309AB",2018-04-01,0,5,5
"6309AB",2018-05-01,3,3,6
"6309AB",2018-06-01,2,2,4
"6309AB",2018-07-01,4,2,6
"6359AA",2018-02-01,0,22,22
"6359AA",2018-03-01,0,21,21
"6359AA",2018-04-01,10,9,19
"6359AA",2018-05-01,9,10,19
"6359AA",2018-06-01,13,3,16
"6359AA",2018-07-01,7,6,13
"6429AA",2018-02-01,0,14,14
"6429AA",2018-03-01,0,13,13
"6429AA",2018-04-01,1,2,3
"6429AA",2018-05-01,1,6,7
"6429AA",2018-06-01,4,4,8
"6429AA",2018-07-01,7,0,7
"6559AA",2018-02-01,0,5,5
"6559AA",2018-03-01,1,9,10
"6559AA",2018-04-01,1,5,6
"6559AA",2018-05-01,1,4,5
"6559AA",2018-06-01,0,4,4
"6559AA",2018-07-01,8,1,9
"6669AA",2018-02-01,0,3,3
"6669AA",2018-03-01,0,1,1
"6669AA",2018-04-01,0,3,3
"6669AA",2018-05-01,0,2,2
"6669AA",2018-06-01,0,1,1
"6669AA",2018-07-01,0,3,3
"6939AA",2018-02-01,6,0,6
"6939AA",2018-03-01,6,0,6
"6939AA",2018-04-01,8,0,8
"6939AA",2018-05-01,8,0,8
"6939AA",2018-06-01,5,0,5
"6939AA",2018-07-01,10,0,10
